PlayerCard1,PlayerCard2,FlopCard1,FlopCard2,FlopCard3,EquityPercent
3s.png,8c.png,Ks.png,Td.png,As.png,1.67
Ah.png,9s.png,4s.png,2c.png,Tc.png,8.47
6h.png,Tc.png,9d.png,8h.png,2d.png,15.63
4c.png,2s.png,Ad.png,Ah.png,9d.png,2.53
6c.png,5d.png,Kh.png,4s.png,7d.png,28.37
5d.png,Kh.png,4h.png,3d.png,Qs.png,7.97
6h.png,6c.png,6s.png,Td.png,Kh.png,77.4
2d.png,8d.png,3c.png,6d.png,6c.png,5.93
Jd.png,9h.png,Qs.png,2c.png,8d.png,20.23
Kc.png,3d.png,7h.png,4d.png,6h.png,6.3
6h.png,Ad.png,9d.png,4c.png,5d.png,14
As.png,4c.png,6s.png,Ad.png,5c.png,39.8
Qd.png,3d.png,Ac.png,9s.png,6c.png,3.57
4c.png,Kh.png,9d.png,4h.png,7d.png,14.4
Qd.png,5c.png,6c.png,8h.png,2s.png,8.07
8h.png,Ts.png,7d.png,4c.png,2h.png,9.83
7d.png,Ac.png,2h.png,8s.png,Td.png,6.7
9c.png,Ad.png,6c.png,7h.png,3s.png,9.33
7c.png,4h.png,Tc.png,Jd.png,9h.png,3.17
Ad.png,Qh.png,Ts.png,5h.png,7s.png,14.87
2c.png,Kh.png,5c.png,Qc.png,Kc.png,28
Tc.png,4c.png,7d.png,2h.png,9c.png,7.7
As.png,Qh.png,Ks.png,8s.png,Kh.png,19.03
Td.png,Kh.png,3d.png,Jd.png,7d.png,24.2
7h.png,7c.png,6d.png,5d.png,Ah.png,14.57
Ad.png,Ks.png,Ts.png,7s.png,3c.png,16.3
5c.png,4s.png,4d.png,7h.png,5d.png,32.97
Th.png,3c.png,9h.png,Kd.png,Jh.png,14.62
Th.png,3d.png,9h.png,Qc.png,Td.png,17.07
Td.png,4h.png,4c.png,Qs.png,4d.png,76.93
Jh.png,Jd.png,9c.png,2h.png,Qd.png,29.2
7d.png,9h.png,9c.png,Jh.png,Jd.png,23.57
4h.png,6d.png,3d.png,6h.png,9d.png,14.83
Jc.png,Qd.png,2d.png,9s.png,Ah.png,8.43
4d.png,Qh.png,8s.png,5d.png,Ah.png,3.33
Qc.png,Jd.png,9h.png,8s.png,Kh.png,15.47
6c.png,Kh.png,9s.png,Ah.png,7s.png,3.9
3s.png,Ah.png,6s.png,2s.png,3c.png,16.57
3h.png,8c.png,6d.png,2c.png,5s.png,12.27
9h.png,2c.png,6h.png,9s.png,7d.png,20.1
7h.png,Jd.png,Js.png,Qh.png,As.png,15.87
7h.png,3d.png,Jc.png,2h.png,6c.png,3
2d.png,Qc.png,6s.png,9d.png,6c.png,5
Qs.png,3d.png,Ac.png,2h.png,8s.png,3.9
Ts.png,8c.png,4s.png,7s.png,Qd.png,8.8
Th.png,3d.png,3s.png,Jh.png,2d.png,17.7
Ad.png,5c.png,Jd.png,Qh.png,Ac.png,37.67
7d.png,9c.png,9d.png,Qc.png,8s.png,18.2
3s.png,6c.png,4d.png,3d.png,5h.png,20.03
Tc.png,6d.png,Jd.png,7c.png,3s.png,4.27
2c.png,9s.png,Ac.png,Js.png,8s.png,4.17
5d.png,Qh.png,Kc.png,6d.png,Td.png,5.6
4h.png,4s.png,Ks.png,8d.png,7s.png,9.3
6h.png,Kc.png,Td.png,7h.png,8h.png,9.93
7s.png,Jc.png,8h.png,4d.png,Qd.png,5.8
9h.png,6h.png,Qs.png,8d.png,7s.png,26.77
Qc.png,Kh.png,2s.png,2c.png,Ts.png,9.07
6h.png,Ts.png,7c.png,7d.png,9c.png,11.7
8s.png,Jd.png,6c.png,7c.png,8h.png,16.73
7s.png,9c.png,As.png,Th.png,4h.png,4.53
5c.png,Kd.png,6c.png,9c.png,5s.png,17.4
6h.png,3c.png,Ah.png,8s.png,3s.png,13.17
5d.png,4d.png,Ac.png,Ah.png,Jd.png,7.07
Jc.png,6d.png,Ah.png,2c.png,6s.png,24.3
6s.png,Jd.png,3d.png,Ks.png,2s.png,4.87
Ks.png,9h.png,5s.png,6c.png,3s.png,9.87
Qd.png,Ac.png,7c.png,Qs.png,6s.png,41.3
Qd.png,3c.png,As.png,5h.png,6d.png,3.6
6h.png,Qs.png,Ah.png,9s.png,5h.png,5.3
8s.png,8h.png,3h.png,7h.png,Jd.png,17.6
Ks.png,Ah.png,As.png,4d.png,2s.png,48.23
8h.png,Td.png,5s.png,2s.png,Qc.png,6.1
Js.png,8d.png,7c.png,Kd.png,2c.png,4.1
Jh.png,5s.png,Kc.png,6c.png,4s.png,6.57
7s.png,9c.png,5d.png,8c.png,9s.png,28.03
Ac.png,Js.png,Tc.png,7c.png,4d.png,18.93
Qc.png,2h.png,Qh.png,5c.png,9h.png,31.87
2d.png,8c.png,3c.png,5h.png,7h.png,3.27
5h.png,6s.png,5s.png,8d.png,6d.png,33.63
8c.png,2d.png,8s.png,4c.png,Tc.png,20.9
9h.png,Jc.png,Jd.png,Ts.png,2h.png,35.27
7s.png,2c.png,As.png,4s.png,Kc.png,2.73
Ks.png,9d.png,6c.png,Kd.png,7h.png,42.73
Ad.png,Kd.png,3c.png,4d.png,5s.png,11.93
Jd.png,6c.png,Ad.png,9d.png,2h.png,8.07
8h.png,2s.png,9d.png,Qc.png,2c.png,12.85
5d.png,Kc.png,Qs.png,6h.png,2c.png,5.53
8c.png,Js.png,Qs.png,Kh.png,5h.png,5.67
9d.png,4d.png,3d.png,Js.png,Td.png,28.1
8c.png,7d.png,As.png,7h.png,Qc.png,19.97
Jh.png,Ah.png,3h.png,3s.png,Qc.png,13.18
Td.png,Qc.png,7s.png,3d.png,2s.png,7.2
6h.png,2c.png,Ts.png,7s.png,Ad.png,1.9
Kd.png,Js.png,Qc.png,Jc.png,Jh.png,74.9
2s.png,4h.png,Ts.png,9d.png,Th.png,1.3
Qd.png,Qc.png,6h.png,4h.png,8h.png,16.2
2h.png,2c.png,4s.png,Jc.png,7c.png,7.9
5c.png,7d.png,5d.png,Ks.png,2s.png,15.43
9h.png,Tc.png,Qs.png,Kc.png,Jd.png,70.18
2d.png,7d.png,Th.png,Kd.png,Qs.png,6.43
Qh.png,2c.png,2h.png,Ks.png,5c.png,16.9
As.png,5h.png,8h.png,6c.png,Ad.png,39.3
8d.png,Qh.png,9s.png,5s.png,Ad.png,7.13
7s.png,5h.png,2d.png,3c.png,Qc.png,3.37
Jc.png,4d.png,2s.png,Ts.png,6s.png,2.1
3c.png,Ac.png,8d.png,Jd.png,5c.png,10.3
8h.png,2s.png,9s.png,3c.png,9d.png,2.2
7d.png,Kd.png,As.png,Jd.png,Ah.png,13.43
5c.png,Jd.png,7d.png,Kc.png,9c.png,6.43
9h.png,9d.png,3h.png,2c.png,5c.png,18.87
9c.png,4d.png,7h.png,6h.png,8d.png,17.68
4s.png,7c.png,6h.png,Kc.png,6c.png,5.47
5d.png,Kd.png,Tc.png,8c.png,3s.png,5.87
6h.png,3s.png,2s.png,9h.png,4c.png,16.8
Jc.png,Jd.png,8d.png,6d.png,Ts.png,31.27
6h.png,8h.png,7h.png,4s.png,9s.png,27.48
Qs.png,Kd.png,5h.png,As.png,7c.png,10.77
2s.png,6d.png,3c.png,8h.png,4d.png,14.47
4s.png,7d.png,7c.png,Qc.png,2s.png,19.87
2h.png,Kc.png,9s.png,6d.png,Js.png,5.9
Qs.png,5h.png,4s.png,Kc.png,3d.png,6.63
4d.png,Jd.png,Qh.png,Ah.png,9c.png,4.43
7h.png,4d.png,Kc.png,5c.png,Ts.png,3.1
6h.png,3h.png,Th.png,4h.png,6c.png,36.6
Jc.png,8c.png,6h.png,2c.png,Ac.png,33.23
7c.png,4c.png,7d.png,Ad.png,6d.png,9.6
As.png,Qd.png,2h.png,Ad.png,Qc.png,75.6
8s.png,Jc.png,9d.png,8c.png,4s.png,24.97
As.png,Jd.png,8s.png,4s.png,Js.png,57.4
8s.png,6h.png,Jd.png,Ks.png,5c.png,4.3
Ah.png,5h.png,7c.png,6s.png,Tc.png,4.27
Td.png,Qh.png,Ad.png,5d.png,3d.png,20.8
6s.png,4d.png,9d.png,Qh.png,2h.png,2.8
3h.png,Qc.png,5s.png,Js.png,2d.png,8.97
3d.png,4s.png,9d.png,9c.png,9s.png,5.8
7c.png,Jc.png,6s.png,Qh.png,9s.png,5.08
Qs.png,As.png,Kd.png,2h.png,5h.png,11.6
4c.png,Qh.png,8s.png,4s.png,Qs.png,34.43
Qd.png,Ks.png,7h.png,3d.png,3c.png,12.8
3c.png,9s.png,Kc.png,9d.png,9c.png,64
8c.png,Jh.png,6s.png,7h.png,Kh.png,8.27
Ah.png,7d.png,6s.png,Jc.png,4c.png,8.3
9d.png,Jd.png,Jc.png,2d.png,8s.png,38.07
8h.png,3c.png,5c.png,Td.png,Qd.png,1.9
